group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
3;LLL;VMULSD,VADDSD,VADDSD,;-8,-16,0,;0xc29d,0xc2cb,0xc2d8,;Success;16;Success;24;24;0;24;24;1;
1;L;VADDSD,;24,;0xc2b1,;Success;16;Success;8;8;0;8;0;1;
2;LL;VMOVSD,VADDSD,;0,-16,;0xc2ed,0xc2f3,;Success;16;Success;16;16;0;24;16;1;
1;S;VMOVSD,;0,;0xc2fe,;Success;8;Success;8;8;0;8;8;1;
1;L;VMOVSD,;24,;0xc290,;Success;16;Success;8;8;0;8;0;1;
1;L;VADDSD,;24,;0xc2a4,;Success;16;Success;8;8;0;8;0;1;
1;L;VADDSD,;24,;0xc2b8,;Success;16;Success;8;8;0;8;0;1;
1;L;VMOVSD,;24,;0xc297,;Success;16;Success;8;8;0;8;0;1;
1;L;VADDSD,;24,;0xc2ab,;Success;16;Success;8;8;0;8;0;1;
2;LL;VADDSD,VADDSD,;-16,0,;0xc2d2,0xc2de,;Success;16;Success;16;16;0;24;16;2;
1;L;VADDSD,;24,;0xc2c5,;Success;16;Success;8;8;0;8;0;1;
1;L;VADDSD,;24,;0xc2be,;Success;16;Success;8;8;0;8;0;1;
