group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
2;LL;VMOVUPD,VMOVUPD,;0,64,;0x401796,0x401809,;Success;128;Success;128;128;0;128;128;2;
2;SS;VMOVUPD,VMOVUPD,;0,64,;0x4017fa,0x40182b,;Success;128;Success;128;128;0;128;128;2;
4;LLLL;VADDPD,VADDPD,VADDPD,VADDPD,;0,16,64,80,;0x40178f,0x4017ac,0x4017e7,0x4017ef,;Success;128;Success;256;144;112;144;144;2;
6;LLLLLL;VMOVUPD,VADDPD,VMOVUPD,VMOVUPD,VADDPD,VMOVUPD,;0,16,8,64,80,72,;0x401771,0x401779,0x401784,0x4017a4,0x4017d1,0x4017dc,;Success;128;Success;384;144;240;144;144;1;
6;LLLLLL;VFNMADD132PD,VMULPD,VFMADD132PD,VMULPD,VFNMADD132PD,VFMADD132PD,;0,24,16,24,0,16,;0x4017b7,0x4017bd,0x4017c4,0x401811,0x401818,0x40181e,;Success;0;Success;48;24;24;32;0;1;
2;LL;VMOVUPD,VMOVUPD,;0,64,;0x40179d,0x401801,;Success;128;Success;128;128;0;128;128;2;
