key;label;is_mpi;is_omp;
fedora_22378;2;true;false;
fedora_22378_22378;2.0;true;false;
fedora_22390;0;true;false;
fedora_22390_22390;0.0;true;false;
fedora_22389;4;true;false;
fedora_22389_22389;4.0;true;false;
fedora_22388;3;true;false;
fedora_22388_22388;3.0;true;false;
fedora_22391;7;true;false;
fedora_22391_22391;7.0;true;false;
fedora_22393;5;true;false;
fedora_22393_22393;5.0;true;false;
fedora_22392;6;true;false;
fedora_22392_22392;6.0;true;false;
fedora_22394;1;true;false;
fedora_22394_22394;1.0;true;false;
