group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;VADDSD,;0,;0x795b,;Success;16;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x794b,;Success;16;Success;8;8;0;8;0;1;
1;L;VADDSD,;0,;0x793f,;Success;16;Success;8;8;0;8;0;1;
1;L;VADDSD,;0,;0x7950,;Success;16;Success;8;8;0;8;0;1;
1;L;VADDSD,;0,;0x793a,;Success;16;Success;8;8;0;8;0;1;
1;L;VADDSD,;0,;0x7956,;Success;16;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x7930,;Success;16;Success;8;8;0;8;0;1;
1;S;VMOVSD,;0,;0x7961,;Success;16;Success;8;8;0;8;0;1;
1;S;VMOVSD,;0,;0x7945,;Success;16;Success;8;8;0;8;0;1;
1;L;VADDSD,;0,;0x7935,;Success;16;Success;8;8;0;8;0;1;
