node;pid;tid;core_id;sample_count;
fedora;548518;548518;1;1;
fedora;548518;548518;2;2411;
fedora;548526;548526;1;2438;
fedora;548530;548530;1;1;
fedora;548530;548530;7;2449;
fedora;548532;548532;1;1;
fedora;548532;548532;3;2453;
fedora;548529;548529;1;1;
fedora;548529;548529;5;2438;
fedora;548525;548525;1;1;
fedora;548525;548525;4;2451;
fedora;548528;548528;8;2451;
fedora;548527;548527;6;2455;
