group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
2;SS;VMOVSD,VMOVSD,;8,8,;0x40d4e3,0x40d4e8,;Not found;0;Success;16;8;8;8;0;2;
5;LLLLL;VMOVSD,VMOVSD,VMOVSD,VMOVSD,VMOVSD,;-32,-24,-16,-8,0,;0x40d499,0x40d49e,0x40d4a3,0x40d4a8,0x40d4ad,;Success;64;Success;40;40;0;40;0;5;
3;LLL;VMOVSD,VMOVSD,VMOVSD,;8,16,24,;0x40d486,0x40d48b,0x40d490,;Success;64;Success;24;24;0;24;0;3;
2;SS;VMOVSD,VMOVSD,;8,8,;0x40d4c5,0x40d4ca,;Not found;0;Success;16;8;8;8;0;2;
2;SS;VMOVSD,VMOVSD,;8,8,;0x40d4b1,0x40d4b6,;Not found;0;Success;16;8;8;8;0;2;
2;SS;VMOVSD,VMOVSD,;8,8,;0x40d4d6,0x40d4dc,;Not found;0;Success;16;8;8;8;0;2;
