module;src_file;score;issue;opts;
mg_omp_cpp_clang++;mg.cpp;0.16666666666667;"-g is missing for some functions (possibly ones added by the compiler), but debug locations are available. Some analysis may be inaccurate. Try to complement -g with -grecord-gcc-switches or -frecord-command-line.";"Ubuntu clang version 18.1.3 (1ubuntu1)";
mg_omp_cpp_clang++;mg.cpp;;"-O2, -O3 or -Ofast is missing. ";"";
mg_omp_cpp_clang++;mg.cpp;;"-march=(target) is missing. ";"";
mg_omp_cpp_clang++;c_randdp.cpp;0.16666666666667;"-g is missing for some functions (possibly ones added by the compiler), but debug locations are available. Some analysis may be inaccurate. Try to complement -g with -grecord-gcc-switches or -frecord-command-line.";"Ubuntu clang version 18.1.3 (1ubuntu1)";
mg_omp_cpp_clang++;c_randdp.cpp;;"-O2, -O3 or -Ofast is missing. ";"";
mg_omp_cpp_clang++;c_randdp.cpp;;"-march=(target) is missing. ";"";
