group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;L;VADDSD,;0,;0x7a25,;Success;16;Success;8;8;0;8;0;1;
1;S;VMOVSD,;0,;0x7a58,;Success;8;Success;8;8;0;8;8;1;
2;LL;VADDSD,VADDSD,;-16,0,;0x7a30,0x7a3b,;Success;16;Success;16;16;0;24;16;2;
1;L;VADDSD,;0,;0x7a02,;Success;16;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x79f5,;Success;16;Success;8;8;0;8;0;1;
1;L;VADDSD,;0,;0x7a1f,;Success;16;Success;8;8;0;8;0;1;
1;L;VMOVSD,;0,;0x79f0,;Success;16;Success;8;8;0;8;0;1;
1;L;VADDSD,;0,;0x7a2b,;Success;16;Success;8;8;0;8;0;1;
1;L;VADDSD,;0,;0x7a0d,;Success;16;Success;8;8;0;8;0;1;
3;LLL;VMULSD,VADDSD,VADDSD,;-8,-16,0,;0x79fb,0x7a12,0x7a19,;Success;16;Success;24;24;0;24;24;1;
2;LL;VMOVSD,VADDSD,;0,-16,;0x7a41,0x7a47,;Success;16;Success;16;16;0;24;16;1;
1;L;VADDSD,;0,;0x7a08,;Success;16;Success;8;8;0;8;0;1;
