ID;Module;Source Location;Source Function;Level;Max Time Over Threads (s);Time w.r.t. Wall Time (s);Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 55;mg_omp_cpp_g++;mg.cpp:882-885;resid(void*, void*, void*, int, int, int, double*, int) [clone .isra.0];Innermost;7.0299987792969;7.0299987792969;26.448560714722;1.00;1.00;1.00;1.00;1;100.00;100.00;24.00;24.00;24.00;24.00;24.00
Loop 53;mg_omp_cpp_g++;mg.cpp:890-893;resid(void*, void*, void*, int, int, int, double*, int) [clone .isra.0];Innermost;4.5550003051758;4.5550007820129;17.137016296387;1.00;1.00;1.00;1.75;1;100.00;100.00;14.00;14.00;14.00;14.00;8.00
Loop 50;mg_omp_cpp_g++;mg.cpp:809-812;psinv(void*, void*, int, int, int, double*, int) [clone .isra.0];Innermost;3.2749996185303;3.2749993801117;12.321341514587;1.00;1.00;1.00;1.01;1;100.00;100.00;24.33;24.33;24.33;24.33;24.00
Loop 76;mg_omp_cpp_g++;c_randdp.cpp:155-155,c_randdp.cpp:163-172;vranlc(int, double*, double, double*);Single;2.7549996376038;2.7549993991852;10.36497592926;1.00;3.67;4.00;1.00;1;0.00;12.50;22.00;22.00;6.00;5.50;22.00
Loop 49;mg_omp_cpp_g++;mg.cpp:816-819;psinv(void*, void*, int, int, int, double*, int) [clone .isra.0];Innermost;2.3349995613098;2.3349993228912;8.7848339080811;1.00;1.00;1.04;1.47;1;92.31;93.27;14.67;14.67;14.67;14.17;10.00
Loop 66;mg_omp_cpp_g++;mg.cpp:956-961;rprj3(void*, int, int, int, void*, int, int, int, int);Innermost;1.4049994945526;1.4049996137619;5.2859487533569;1.00;1.00;1.28;2.67;1;66.67;58.33;16.00;16.00;16.00;12.50;6.00
Loop 65;mg_omp_cpp_g++;mg.cpp:963-973;rprj3(void*, int, int, int, void*, int, int, int, int);Innermost;0.97000008821487;0.97000002861023;3.6493752002716;1.00;1.00;1.00;2.00;1;97.96;98.21;24.00;24.00;24.00;24.00;12.00
Loop 31;mg_omp_cpp_g++;mg.cpp:626-627;interp(void*, int, int, int, void*, int, int, int, int) [clone .isra.0];Innermost;0.38999998569489;0.38999998569489;1.4672745466232;1.00;1.00;1.00;2.00;1;100.00;100.00;16.00;16.00;16.00;16.00;8.00
Loop 35;mg_omp_cpp_g++;mg.cpp:604-606;interp(void*, int, int, int, void*, int, int, int, int) [clone .isra.0];Innermost;0.34000000357628;0.34000000357628;1.2791624069214;1.00;1.00;1.00;1.00;1;100.00;100.00;16.00;16.00;16.00;16.00;16.00
Loop 34;mg_omp_cpp_g++;mg.cpp:611-612;interp(void*, int, int, int, void*, int, int, int, int) [clone .isra.0];Innermost;0.33500003814697;0.33500003814697;1.2603513002396;1.00;1.00;1.00;2.06;1;100.00;100.00;16.50;16.50;16.50;16.50;8.00
Loop 33;mg_omp_cpp_g++;mg.cpp:616-617;interp(void*, int, int, int, void*, int, int, int, int) [clone .isra.0];Innermost;0.30500000715256;0.30500000715256;1.1474839448929;1.00;1.00;1.00;2.06;1;100.00;100.00;16.50;16.50;16.50;16.50;8.00
Loop 32;mg_omp_cpp_g++;mg.cpp:621-622;interp(void*, int, int, int, void*, int, int, int, int) [clone .isra.0];Innermost;0.27500000596046;0.27500000596046;1.0346167087555;1.00;1.00;1.00;2.06;1;100.00;100.00;16.50;16.50;16.50;16.50;8.00
Loop 41;mg_omp_cpp_g++;mg.cpp:545-547;comm3(void*, int, int, int, int) [clone .isra.0];Innermost;0.22000001370907;0.22000001370907;0.82769340276718;1.16;1.00;6.17;6.17;1;0.00;12.50;6.17;5.33;6.17;1.00;1.00
Loop 48;mg_omp_cpp_g++;mg.cpp:806-819;psinv(void*, void*, int, int, int, double*, int) [clone .isra.0];Outermost;0.20000001788139;0.20000000298023;0.75244849920273;1.24;1.00;1.75;1.67;7976;28.24;29.71;112.67;90.67;112.67;64.40;67.50
