group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x411c9e,0x411ccd,;Success;128;Success;128;128;0;128;128;1;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x411d1e,0x411d47,;Success;128;Success;128;128;0;128;128;1;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x411d01,0x411d25,;Success;128;Success;128;128;0;128;128;1;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x411d40,0x411d5c,;Success;128;Success;128;128;0;128;128;1;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x411dbc,0x411dc3,;Success;128;Success;128;128;0;128;128;1;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x411c90,0x411cbd,;Success;128;Success;128;128;0;128;128;1;
1;S;VMOVUPD,;0,;0x411de3,;Success;64;Success;64;64;0;64;64;1;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x411d33,0x411d4f,;Success;128;Success;128;128;0;128;128;1;
2;LL;VMOVUPD,VMOVUPD,;64,0,;0x411caa,0x411cb2,;Success;128;Success;128;128;0;128;128;2;
2;LL;MOV,CMP,;-112,-104,;0x411cb9,0x411dee,;Success;0;Success;16;16;0;16;0;1;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x411d77,0x411d94,;Success;128;Success;128;128;0;128;128;1;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x411d8d,0x411da8,;Success;128;Success;128;128;0;128;128;1;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x411cdb,0x411d08,;Success;128;Success;128;128;0;128;128;1;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x411ce2,0x411d10,;Success;128;Success;128;128;0;128;128;1;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x411c97,0x411cc5,;Success;128;Success;128;128;0;128;128;1;
2;LL;VMOVUPD,VPERMT2PD,;0,64,;0x411d6a,0x411d7f,;Success;128;Success;128;128;0;128;128;1;
