group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
2;LL;VADDPD,VADDPD,;-64,0,;0xccc0,0xccc8,;Success;128;Success;128;128;0;128;128;2;
2;LL;VADDPD,VADDPD,;-64,0,;0xccb1,0xccb9,;Success;128;Success;128;128;0;128;128;2;
2;LL;VMOVUPD,VMOVUPD,;-64,0,;0xcca2,0xccaa,;Success;128;Success;128;128;0;128;128;2;
2;LL;VADDPD,VADDPD,;-64,0,;0xcccf,0xccd7,;Success;128;Success;128;128;0;128;128;2;
2;LL;VADDPD,VADDPD,;-64,0,;0xcc5f,0xcc67,;Success;128;Success;128;128;0;128;128;2;
2;LL;VMOVUPD,VMOVUPD,;-64,0,;0xcc50,0xcc58,;Success;128;Success;128;128;0;128;128;2;
4;SSSS;VMOVUPD,VMOVUPD,VMOVUPD,VMOVUPD,;-4400,-4336,-8528,-8464,;0xcc8c,0xcc97,0xccdf,0xccea,;Success;128;Success;256;256;0;4256;256;2;
2;LL;VADDPD,VADDPD,;-64,0,;0xcc6e,0xcc76,;Success;128;Success;128;128;0;128;128;2;
2;LL;VADDPD,VADDPD,;-64,0,;0xcc7d,0xcc85,;Success;128;Success;128;128;0;128;128;2;
