group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
1;S;VMOVUPD,;0,;0xb167,;Success;32;Success;32;32;0;32;32;1;
2;LL;VMOVUPD,VUNPCKLPD,;0,32,;0xb089,0xb08f,;Success;64;Success;64;64;0;64;64;1;
2;LL;VMOVUPD,VUNPCKLPD,;0,32,;0xaff8,0xb004,;Success;64;Success;64;64;0;64;64;1;
2;LL;VMOVUPD,VUNPCKLPD,;0,32,;0xb0e6,0xb0f7,;Success;64;Success;64;64;0;64;64;1;
2;LL;VMOVUPD,VUNPCKLPD,;0,32,;0xb0a8,0xb0ae,;Success;64;Success;64;64;0;64;64;1;
2;LL;VMOVUPD,VUNPCKLPD,;0,32,;0xaf9e,0xafab,;Success;64;Success;64;64;0;64;64;1;
2;LL;VMOVUPD,VUNPCKLPD,;0,32,;0xb016,0xb034,;Success;64;Success;64;64;0;64;64;1;
2;LL;VMOVUPD,VUNPCKLPD,;0,32,;0xb03b,0xb051,;Success;64;Success;64;64;0;64;64;1;
2;LL;VMOVUPD,VUNPCKLPD,;0,32,;0xb058,0xb07d,;Success;64;Success;64;64;0;64;64;1;
5;LLSLL;MOV,MOV,VMOVAPD,MOV,CMP,;-8512,-8448,-8432,-8328,-8544,;0xafb8,0xb023,0xb096,0xb139,0xb171,;Success;0;Success;64;64;0;224;0;1;
2;LL;VMOVUPD,VUNPCKLPD,;0,32,;0xb10e,0xb11b,;Success;64;Success;64;64;0;64;64;1;
2;LL;VMOVUPD,VUNPCKLPD,;0,32,;0xafe1,0xafe7,;Success;64;Success;64;64;0;64;64;1;
2;LL;VMOVUPD,VUNPCKLPD,;0,32,;0xaf98,0xafa4,;Success;64;Success;64;64;0;64;64;1;
2;LL;VMOVUPD,VUNPCKLPD,;0,32,;0xb0c5,0xb0da,;Success;64;Success;64;64;0;64;64;1;
4;LLLL;VMOVUPD,VUNPCKHPD,VMOVUPD,VUNPCKLPD,;0,32,0,32,;0xafb2,0xafbf,0xaffe,0xb01c,;Success;64;Success;128;64;64;64;64;1;
2;LL;VMOVUPD,VUNPCKLPD,;0,32,;0xb114,0xb127,;Success;64;Success;64;64;0;64;64;1;
