module;src_file;score;issue;opts;
mg_omp_cpp_aocc;c_randdp.cpp;0.16666666666667;"-g is missing for some functions (possibly ones added by the compiler), but debug locations are available. Some analysis may be inaccurate. Try to complement -g with -grecord-gcc-switches or -frecord-command-line.";"AMD clang version 17.0.6 (CLANG: AOCC_5.1.0-Build#1994 2025_12_23)";
mg_omp_cpp_aocc;c_randdp.cpp;;"-O2, -O3 or -Ofast is missing. ";"";
mg_omp_cpp_aocc;c_randdp.cpp;;"-march=(target) is missing. ";"";
mg_omp_cpp_aocc;mg.cpp;0.16666666666667;"-g is missing for some functions (possibly ones added by the compiler), but debug locations are available. Some analysis may be inaccurate. Try to complement -g with -grecord-gcc-switches or -frecord-command-line.";"AMD clang version 17.0.6 (CLANG: AOCC_5.1.0-Build#1994 2025_12_23)";
mg_omp_cpp_aocc;mg.cpp;;"-O2, -O3 or -Ofast is missing. ";"";
mg_omp_cpp_aocc;mg.cpp;;"-march=(target) is missing. ";"";
