function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;flops_sca_sp;flops_sca_dp;flops_vec_sp;flops_vec_dp;flops_sca;flops_vec;flops_sp;flops_dp;
-1;kernel;memcg1_commit_charge;;0.041493728756905;0.0049999998882413;0;0;0;0;0;0.041493728756905;0.0049999998882413;0;0;0;0;0;;"0,0,0,0,0,100,0,0,0,0,0";memcg1_commit_charge;;;;;;;;;;
-1;kernel;vma_alloc_folio_noprof;;0.041493728756905;0.0049999998882413;0;0;0;0;0;0.041493728756905;0.0049999998882413;0;0;0;0;0;;"0,0,0,0,0,100,0,0,0,0,0";vma_alloc_folio_noprof;;;;;;;;;;
-1;kernel;get_page_from_freelist;;0.041493728756905;0.0049999998882413;0;0;0;0;0;0.041493728756905;0.0049999998882413;0;0;0;0;0;;"0,0,0,0,0,100,0,0,0,0,0";get_page_from_freelist;;;;;;;;;;
-1;kernel;__folio_mod_stat;;0.041493728756905;0.0049999998882413;0;0;0;0;0;0.041493728756905;0.0049999998882413;0;0;0;0;0;;"0,0,0,0,0,100,0,0,0,0,0";__folio_mod_stat;;;;;;;;;;
-1;kernel;handle_mm_fault;;0.041493728756905;0.0049999998882413;0;0;0;0;0;0.041493728756905;0.0049999998882413;0;0;0;0;0;;"0,0,0,0,0,100,0,0,0,0,0";handle_mm_fault;;;;;;;;;;
-1;kernel;__handle_mm_fault;;0.041493728756905;0.0049999998882413;0;0;0;0;0;0.041493728756905;0.0049999998882413;0;0;0;0;0;;"0,0,0,0,0,100,0,0,0,0,0";__handle_mm_fault;;;;;;;;;;
-1;kernel;set_ptes.isra.0;;0.041493728756905;0.0049999998882413;0;0;0;0;0;0.041493728756905;0.0049999998882413;0;0;0;0;0;;"0,0,0,0,0,100,0,0,0,0,0";set_ptes.isra.0;;;;;;;;;;
-1;kernel;lock_vma_under_rcu;;0.041493728756905;0.0049999998882413;0;0;0;0;0;0.041493728756905;0.0049999998882413;0;0;0;0;0;;"0,0,0,0,0,100,0,0,0,0,0";lock_vma_under_rcu;;;;;;;;;;
-1;kernel;folio_add_lru;;0.041493728756905;0.0049999998882413;0;0;0;0;0;0.041493728756905;0.0049999998882413;0;0;0;0;0;;"0,0,0,0,0,100,0,0,0,0,0";folio_add_lru;;;;;;;;;;
-1;kernel;folios_put_refs;;0.041493728756905;0.0049999998882413;0;0;0;0;0;0.041493728756905;0.0049999998882413;0;0;0;0;0;;"0,0,0,0,0,100,0,0,0,0,0";folios_put_refs;;;;;;;;;;
-1;kernel;__call_rcu_common.constprop.0;;0.041493728756905;0.0049999998882413;0;0;0;0;0;0.041493728756905;0.0049999998882413;0;0;0;0;0;;"0,0,0,0,0,100,0,0,0,0,0";__call_rcu_common.constprop.0;;;;;;;;;;
-1;kernel;sched_update_worker;;0.041493728756905;0.0049999998882413;0;0;0;0;0;0.041493728756905;0.0049999998882413;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0,0";sched_update_worker;;;;;;;;;;
27;mg_omp_f90_aocc;__nv_zran3__PARALLEL_F1L1215_10;mg.f90:1215-1222;0.041493728756905;0.0049999998882413;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0,0";__nv_zran3__PARALLEL_F1L1215_10_;;;;;;;;;;
