metric;value;
cpui_model_name;13th Gen Intel(R) Core(TM) i5-13500H;
uarchitecture_code;25;
cores_per_socket;0;
last_html_path;mpirun_stability_one_html;
proc_name;Raptor_Lake_ba;
lprof_suffix;4;
cpui_cache_size;18432 KB;
os_version;Linux 6.17.0-14-generic #14~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Thu Jan 15 15:52:10 UTC 2;
scaling_governor;performance;
cur_frequency;1905642;
huge_pages;madvise;
nb_filtered_functions;0;
driver_frequency;intel_pstate;
threads_per_core;0;
exp_version;3.1;
universal_timestamp;1772204464;
maqao_build;aae71454a81fd1916a1bb0dee97b1e5c08f6db95::20260204-200851;
cov_filtered_loops;0;
perf_event_paranoid;1;
cpui_cpu_cores;12;
maqao_version;2026.0.0;
global_instances_per_bucket;31;
timestamp;2026-02-27 16:01:04;
nb_filtered_loops;0;
architecture_code;2;
config_count;1;
architecture;x86_64;
hostnames;lbw-Lenovo-G5000-IRH8;
is_lstopo;true;
hostname;lbw-Lenovo-G5000-IRH8;
max_frequency;4700000;
min_time_obj;0.1;
previous_thread_filter_threshold;1%;
sockets;0;
uarchitecture;RAPTOR_LAKE;
instances_per_bucket;31;
cov_filtered_functions;0;
