node;pid;tid;core_id;sample_count;
lbw-Lenovo-G5000-IRH8;63671;63704;1;291;
lbw-Lenovo-G5000-IRH8;63671;63704;2;452;
lbw-Lenovo-G5000-IRH8;63671;63704;3;35;
lbw-Lenovo-G5000-IRH8;63671;63704;4;18;
lbw-Lenovo-G5000-IRH8;63671;63704;5;3;
lbw-Lenovo-G5000-IRH8;63671;63704;7;18;
lbw-Lenovo-G5000-IRH8;63671;63704;8;102;
lbw-Lenovo-G5000-IRH8;63671;63704;9;88;
lbw-Lenovo-G5000-IRH8;63671;63704;10;110;
lbw-Lenovo-G5000-IRH8;63671;63704;11;81;
lbw-Lenovo-G5000-IRH8;63671;63704;12;235;
lbw-Lenovo-G5000-IRH8;63671;63704;13;909;
lbw-Lenovo-G5000-IRH8;63671;63704;14;1182;
lbw-Lenovo-G5000-IRH8;63671;63704;15;1;
lbw-Lenovo-G5000-IRH8;63671;63694;1;289;
lbw-Lenovo-G5000-IRH8;63671;63694;2;230;
lbw-Lenovo-G5000-IRH8;63671;63694;3;77;
lbw-Lenovo-G5000-IRH8;63671;63694;4;814;
lbw-Lenovo-G5000-IRH8;63671;63694;5;44;
lbw-Lenovo-G5000-IRH8;63671;63694;6;808;
lbw-Lenovo-G5000-IRH8;63671;63694;9;75;
lbw-Lenovo-G5000-IRH8;63671;63694;10;52;
lbw-Lenovo-G5000-IRH8;63671;63694;11;60;
lbw-Lenovo-G5000-IRH8;63671;63694;12;340;
lbw-Lenovo-G5000-IRH8;63671;63694;13;740;
lbw-Lenovo-G5000-IRH8;63671;63694;15;1;
lbw-Lenovo-G5000-IRH8;63671;63701;1;133;
lbw-Lenovo-G5000-IRH8;63671;63701;2;271;
lbw-Lenovo-G5000-IRH8;63671;63701;3;7;
lbw-Lenovo-G5000-IRH8;63671;63701;4;250;
lbw-Lenovo-G5000-IRH8;63671;63701;5;2;
lbw-Lenovo-G5000-IRH8;63671;63701;6;208;
lbw-Lenovo-G5000-IRH8;63671;63701;7;1;
lbw-Lenovo-G5000-IRH8;63671;63701;8;1;
lbw-Lenovo-G5000-IRH8;63671;63701;9;64;
lbw-Lenovo-G5000-IRH8;63671;63701;10;26;
lbw-Lenovo-G5000-IRH8;63671;63701;11;15;
lbw-Lenovo-G5000-IRH8;63671;63701;12;59;
lbw-Lenovo-G5000-IRH8;63671;63701;13;211;
lbw-Lenovo-G5000-IRH8;63671;63701;14;2303;
lbw-Lenovo-G5000-IRH8;63671;63695;1;53;
lbw-Lenovo-G5000-IRH8;63671;63695;2;49;
lbw-Lenovo-G5000-IRH8;63671;63695;3;6;
lbw-Lenovo-G5000-IRH8;63671;63695;4;380;
lbw-Lenovo-G5000-IRH8;63671;63695;5;15;
lbw-Lenovo-G5000-IRH8;63671;63695;6;1266;
lbw-Lenovo-G5000-IRH8;63671;63695;7;2;
lbw-Lenovo-G5000-IRH8;63671;63695;8;640;
lbw-Lenovo-G5000-IRH8;63671;63695;9;7;
lbw-Lenovo-G5000-IRH8;63671;63695;10;7;
lbw-Lenovo-G5000-IRH8;63671;63695;11;4;
lbw-Lenovo-G5000-IRH8;63671;63695;12;43;
lbw-Lenovo-G5000-IRH8;63671;63695;13;273;
lbw-Lenovo-G5000-IRH8;63671;63695;15;3;
lbw-Lenovo-G5000-IRH8;63671;63695;16;809;
lbw-Lenovo-G5000-IRH8;63671;63699;1;25;
lbw-Lenovo-G5000-IRH8;63671;63699;2;59;
lbw-Lenovo-G5000-IRH8;63671;63699;3;10;
lbw-Lenovo-G5000-IRH8;63671;63699;4;536;
lbw-Lenovo-G5000-IRH8;63671;63699;5;1;
lbw-Lenovo-G5000-IRH8;63671;63699;7;140;
lbw-Lenovo-G5000-IRH8;63671;63699;8;2345;
lbw-Lenovo-G5000-IRH8;63671;63699;9;6;
lbw-Lenovo-G5000-IRH8;63671;63699;10;2;
lbw-Lenovo-G5000-IRH8;63671;63699;11;13;
lbw-Lenovo-G5000-IRH8;63671;63699;12;39;
lbw-Lenovo-G5000-IRH8;63671;63699;13;343;
lbw-Lenovo-G5000-IRH8;63671;63699;14;40;
lbw-Lenovo-G5000-IRH8;63671;63696;1;30;
lbw-Lenovo-G5000-IRH8;63671;63696;2;46;
lbw-Lenovo-G5000-IRH8;63671;63696;3;9;
lbw-Lenovo-G5000-IRH8;63671;63696;4;134;
